食 品 群,食 品 番 号,索 引 番 号,可  食  部   100  g  当  た  り,,,,,可  食  部   100  g  当  た  り,,備  考
10,10015,1179,＜魚類＞ あなご 生,140,(0),370,75,2,0.4,"試料： まあなご
廃棄部位： 頭部、内臓、骨、ひれ等"
10,10016,1180,＜魚類＞ あなご 蒸し,180,(0),280,64,1,0.3,"試料： まあなご
切り身"
10,10017,1181,＜魚類＞ あまご 養殖 生,66,(0),380,27,1,0.1,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10018,1182,＜魚類＞ あまだい 生,52,(0),360,58,1,0.2,"試料： あかあまだい
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10019,1183,＜魚類＞ あまだい 水煮,71,(0),350,34,1,0.2,"試料： あかあまだい
切り身"
10,10020,1184,＜魚類＞ あまだい 焼き,89,(0),410,54,Tr,0.3,"試料： あかあまだい
切り身"
10,10021,1185,＜魚類＞ あゆ 天然 生,83,(0),370,270,2,0.2,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10022,1186,＜魚類＞ あゆ 天然 焼き,140,(0),510,480,2,0.3,廃棄部位： 頭部、内臓、骨、ひれ等
10,10023,1187,＜魚類＞ あゆ 天然 内臓 生,200,(0),210,43,5,0.2,
10,10024,1188,＜魚類＞ あゆ 天然 内臓 焼き,230,(0),520,140,5,0.4,魚体全体を焼いた後、 取り出したもの
10,10025,1189,＜魚類＞ あゆ 養殖 生,110,(0),360,250,2,0.1,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10026,1190,＜魚類＞ あゆ 養殖 焼き,170,(0),430,450,2,0.2,廃棄部位： 頭部、内臓、骨、ひれ等
10,10027,1191,＜魚類＞ あゆ 養殖 内臓 生,220,(0),160,55,2,0.2,
10,10028,1192,＜魚類＞ あゆ 養殖 内臓 焼き,260,(0),270,130,1,0.3,魚体全体を焼いた後、取り出したもの
10,10029,1193,＜魚類＞ あゆ うるか,260,(0),190,16,0,13.0,
10,10030,1194,＜魚類＞ アラスカめぬけ 生,52,(0),290,22,Tr,0.2,"別名： あかうお
切り身"
10,10031,1195,＜魚類＞ あんこう 生,78,(0),210,8,1,0.3,"試料： きあんこう
切り身
（魚体全体から調理する場合、廃棄率：  65 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10032,1196,＜魚類＞ あんこう きも 生,560,(0),220,6,1,0.3,"試料： きあんこう
肝臓"
10,10033,1197,＜魚類＞ いかなご 生,200,(0),390,500,1,0.5,"別名： こうなご
小型魚全体"
10,10034,1198,＜魚類＞ いかなご 煮干し,510,(0),810,740,0,7.1,別名： こうなご
10,10035,1199,＜魚類＞ いかなご つくだ煮,280,(0),670,470,(0),5.6,別名： こうなご
10,10036,1200,＜魚類＞ いかなご あめ煮,270,(0),430,550,(0),4.3,別名： こうなご
10,10037,1201,＜魚類＞ いさき 生,71,(0),300,22,Tr,0.4,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10038,1202,＜魚類＞ いしだい 生,56,(0),390,20,Tr,0.1,"別名： くちぐろ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10039,1203,＜魚類＞ いとよりだい 生,70,(0),390,46,2,0.2,"別名： いとより
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 50 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10040,1204,＜魚類＞ いとよりだい すり身,38,(0),17,26,0,0.7,別名： いとより
10,10041,1205,＜魚類＞ いぼだい 生,57,(0),280,41,1,0.5,"別名： えぼだい
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10042,1206,＜魚類＞ （いわし類） うるめいわし 生,60,(0),440,85,1,0.2,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10043,1207,＜魚類＞ （いわし類） うるめいわし 丸干し,220,(0),820,570,Tr,5.8,廃棄部位： 頭部、ひれ等
10,10044,1208,＜魚類＞ （いわし類） かたくちいわし 生,70,(0),300,60,1,0.2,"別名： しこいわし、ひしこ、せぐろ 
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10045,1209,＜魚類＞ （いわし類） かたくちいわし 煮干し,550,(0),1200,2200,(0),4.3,"別名： しこいわし、ひしこ、せぐろ、いりこ、ちりめん
魚体全体"
10,10046,1210,＜魚類＞ （いわし類） かたくちいわし 田作り,720,(0),1600,2500,(0),1.8,"別名： しこいわし、ひしこ、せぐろ、ごまめ
幼魚の乾燥品（調理前）"
10,10047,1211,＜魚類＞ （いわし類） まいわし 生,67,(0),270,74,0,0.2,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10048,1212,＜魚類＞ （いわし類） まいわし 水煮,68,(0),280,82,0,0.2,"頭部、内臓等を除き水煮したもの
廃棄部位： 骨、ひれ等"
10,10049,1213,＜魚類＞ （いわし類） まいわし 焼き,80,(0),350,98,0,0.3,"内臓等を除き焼いたもの
廃棄部位： 頭部、骨、ひれ等"
10,10395,1214,＜魚類＞ （いわし類） まいわし フライ,78,-,290,78,0,0.4,"三枚におろしたもの
調理による脂質の増減：第1章表13参照"
10,10050,1215,＜魚類＞ （いわし類） まいわし 塩いわし,74,(0),300,70,(0),6.1,廃棄部位： 頭部、内臓、骨、ひれ等
10,10051,1216,＜魚類＞ （いわし類） まいわし 生干し,68,(0),340,65,Tr,1.8,廃棄部位： 頭部、内臓、骨、ひれ等
10,10052,1217,＜魚類＞ （いわし類） まいわし 丸干し,110,(0),470,440,Tr,3.8,廃棄部位： 頭部、ひれ等
10,10053,1218,＜魚類＞ （いわし類） めざし 生,100,(0),170,180,Tr,2.8,"原材料： かたくちいわし、まいわし等
廃棄部位： 頭部、ひれ等"
10,10054,1219,＜魚類＞ （いわし類） めざし 焼き,120,(0),220,320,Tr,3.6,"原材料： かたくちいわし、まいわし等
廃棄部位： 頭部、ひれ等"
10,10396,1220,＜魚類＞ （いわし類） しらす 生,140,(0),340,210,5,1.0,かたくちいわし、まいわし等の幼魚
10,10445,1221,＜魚類＞ （いわし類） しらす 釜揚げしらす,170,0,120,190,Tr,2.1,原材料： かたくちいわし、まいわし等の稚魚
10,10055,1222,＜魚類＞ （いわし類） しらす干し 微乾燥品,250,0,170,280,0,4.2,"原材料： かたくちいわし、まいわし等の稚魚
主として関東向け  "
10,10056,1223,＜魚類＞ （いわし類） しらす干し 半乾燥品,390,(0),490,520,Tr,6.6,"原材料： かたくちいわし、まいわし等の幼魚
主として関西向け"
10,10057,1224,＜魚類＞ （いわし類） たたみいわし,710,(0),790,970,(0),2.2,"原材料： かたくちいわし、まいわし等の幼魚
ビタミンC： 酸化防止用として添加品あり"
10,10058,1225,＜魚類＞ （いわし類） みりん干し かたくちいわし,110,(0),420,800,(0),2.8,
10,10059,1226,＜魚類＞ （いわし類） みりん干し まいわし,76,(0),290,240,(0),1.7,
10,10060,1227,＜魚類＞ （いわし類） 缶詰 水煮,80,(0),250,320,(0),0.8,"まいわし製品
液汁を除いたもの"
10,10061,1228,＜魚類＞ （いわし類） 缶詰 味付け,85,(0),240,370,(0),1.4,"まいわし製品
液汁を除いたもの"
10,10062,1229,＜魚類＞ （いわし類） 缶詰 トマト漬,85,(0),310,360,0,0.7,"まいわし製品
液汁を除いたもの"
10,10063,1230,＜魚類＞ （いわし類） 缶詰 油漬,86,(0),280,350,0,0.8,"別名： オイルサーディン
まいわし製品
液汁を含んだもの"
10,10064,1231,＜魚類＞ （いわし類） 缶詰 かば焼,70,(0),270,220,0,1.5,"まいわし製品
液汁を含んだもの"
10,10397,1232,＜魚類＞ （いわし類） 缶詰 アンチョビ,89,(0),140,150,0,13.1,"かたくちいわし製品
液汁を除いたもの"
10,10065,1233,＜魚類＞ いわな 養殖 生,80,(0),380,39,1,0.1,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10066,1234,＜魚類＞ うぐい 生,93,(0),340,69,Tr,0.2,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10067,1235,＜魚類＞ うなぎ 養殖 生,230,(0),230,130,2,0.2,廃棄部位： 頭部、内臓、骨、ひれ等
10,10068,1236,＜魚類＞ うなぎ きも 生,430,(0),200,19,2,0.4,内臓
10,10069,1237,＜魚類＞ うなぎ 白焼き,220,(0),300,140,Tr,0.3,
10,10070,1238,＜魚類＞ うなぎ かば焼,230,(0),300,150,Tr,1.3,
10,10071,1239,＜魚類＞ うまづらはぎ 生,47,(0),320,50,Tr,0.5,廃棄部位： 頭部、内臓、骨、皮、ひれ等（三枚下ろし）
10,10072,1240,＜魚類＞ うまづらはぎ 味付け開き干し,140,(0),310,190,(0),6.1,廃棄部位： 骨、ひれ等
10,10073,1241,＜魚類＞ えい 生,80,(0),110,4,1,0.7,"別名： かすべ
切り身
（魚体全体から調理する場合、廃棄率： 60%、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10074,1242,＜魚類＞ えそ 生,74,(0),380,80,2,0.3,"試料： わにえそ、とかげえそ、まえそ等
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 45 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10075,1243,＜魚類＞ おいかわ 生,91,(0),240,45,2,0.1,"別名： はや、やまべ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10076,1244,＜魚類＞ おおさが 生,55,(0),310,16,1,0.2,"別名： こうじんめぬけ
切り身
（魚体全体から調理する場合、廃棄率： 60%、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10077,1245,＜魚類＞ おこぜ 生,75,(0),360,31,0,0.2,"試料： おにおこぜ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10078,1246,＜魚類＞ おひょう 生,49,(0),400,7,Tr,0.2,"別名： おおひらめ
切り身"
10,10079,1247,＜魚類＞ かさご 生,45,(0),310,57,1,0.3,"三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 65 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10080,1248,＜魚類＞ かじか 生,220,(0),260,520,1,0.3,"別名： ごり
魚体全体"
10,10081,1249,＜魚類＞ かじか 水煮,250,(0),210,630,Tr,0.2,魚体全体を水煮したもの
10,10082,1250,＜魚類＞ かじか つくだ煮,360,(0),460,880,0,4.3,
10,10083,1251,＜魚類＞ （かじき類） くろかじき 生,48,(0),390,5,1,0.2,"別名： くろかわ
切り身（皮なし）"
10,10084,1252,＜魚類＞ （かじき類） まかじき 生,46,(0),380,5,2,0.2,切り身（皮なし）
10,10085,1253,＜魚類＞ （かじき類） めかじき 生,72,(0),440,3,1,0.2,"別名： めか
切り身（皮なし）"
10,10398,1254,＜魚類＞ （かじき類） めかじき 焼き,99,(0),630,5,0,0.3,切り身（皮なし）
10,10086,1255,＜魚類＞ （かつお類） かつお 春獲り 生,60,(0),430,11,Tr,0.1,"別名： ほんがつお、まがつお、初がつお 
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 35 %、廃棄部位： 頭部、内臓、骨、ひれ等）
試料： 第3章参照"
10,10087,1256,＜魚類＞ （かつお類） かつお 秋獲り 生,58,(0),380,8,Tr,0.1,"別名： ほんがつお、まがつお、 戻りがつお
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10088,1257,＜魚類＞ （かつお類） そうだがつお 生,75,(0),350,23,Tr,0.2,"試料： まるそうだ、ひらそうだ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10089,1258,＜魚類＞ （かつお類） 加工品 なまり,80,(0),300,11,(0),0.3,
10,10090,1259,＜魚類＞ （かつお類） 加工品 なまり節,95,(0),630,20,(0),0.2,
10,10446,1260,＜魚類＞ （かつお類） 加工品 裸節,160,0,780,15,-,0.8,
10,10091,1261,＜魚類＞ （かつお類） 加工品 かつお節,180,(0),940,28,(0),0.3,
10,10092,1262,＜魚類＞ （かつお類） 加工品 削り節,190,(0),810,46,Tr,1.2,試料： 包装品
10,10093,1263,＜魚類＞ （かつお類） 加工品 削り節つくだ煮,57,(0),410,54,(0),7.9,
10,10094,1264,＜魚類＞ （かつお類） 加工品 角煮,56,(0),290,10,(0),3.8,
10,10095,1265,＜魚類＞ （かつお類） 加工品 塩辛,210,(0),130,180,(0),12.7,別名： 酒盗
10,10096,1266,＜魚類＞ （かつお類） 缶詰 味付け フレーク,53,(0),280,29,(0),1.7,"別名： ツナ缶
液汁を含んだもの"
10,10097,1267,＜魚類＞ （かつお類） 缶詰 油漬 フレーク,41,(0),230,5,(0),0.9,"別名： ツナ缶
液汁を含んだもの"
10,10098,1268,＜魚類＞ かます 生,58,(0),320,41,Tr,0.3,"試料： あかかます
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10099,1269,＜魚類＞ かます 焼き,83,(0),360,59,Tr,0.4,"試料： あかかます
内臓等を除き焼いたもの
廃棄部位： 頭部、骨、ひれ等"
10,10100,1270,＜魚類＞ （かれい類） まがれい 生,71,(0),330,43,1,0.3,"五枚におろしたもの
（魚体全体から調理する場合、廃棄率： 50 %、廃棄部位： 頭部、内臓、骨、ひれ等） "
10,10101,1271,＜魚類＞ （かれい類） まがれい 水煮,87,(0),320,56,Tr,0.3,"廃棄部位： 頭部、骨、ひれ等
内臓等を除き水煮したもの"
10,10102,1272,＜魚類＞ （かれい類） まがれい 焼き,100,(0),370,70,1,0.3,"廃棄部位： 頭部、骨、ひれ等
内臓等を除き焼いたもの"
10,10103,1273,＜魚類＞ （かれい類） まこがれい 生,66,(0),320,46,1,0.3,廃棄部位： 頭部、内臓、骨、ひれ等（五枚下ろし）
10,10399,1274,＜魚類＞ （かれい類） まこがれい 焼き,110,(0),490,75,1,0.5,五枚におろしたもの
10,10104,1275,＜魚類＞ （かれい類） 子持ちがれい 生,120,(0),290,20,4,0.2,"試料： あかがれい及びばばがれい
廃棄部位： 頭部、内臓、骨、ひれ等"
10,10105,1276,＜魚類＞ （かれい類） 子持ちがれい 水煮,140,(0),270,40,3,0.2,"試料： あかがれい及びばばがれい
頭部、内臓等を除き水煮したもの
廃棄部位： 骨、ひれ等"
10,10106,1277,＜魚類＞ （かれい類） 干しかれい,87,(0),280,40,1,1.1,"試料（原材料）： やなぎむしがれい及びむしがれい（生干しひと塩品）
廃棄部位： 頭部、骨、ひれ等"
10,10107,1278,＜魚類＞ かわはぎ 生,47,(0),380,13,Tr,0.3,"別名：はげ
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 65 %、廃棄部位： 頭部、内臓、骨、皮、ひれ等） "
10,10108,1279,＜魚類＞ かんぱち 三枚おろし 生,62,(0),490,15,Tr,0.2,"三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 40 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10424,1280,＜魚類＞ かんぱち 背側 生,48,(0),470,6,1,0.1,"三枚におろした後、腹側を除いたもの
（魚体全体から調理する場合、廃棄率： 80 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10109,1281,＜魚類＞ きす 生,88,(0),340,27,1,0.3,"試料： しろぎす 
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10400,1282,＜魚類＞ きす 天ぷら,81,0.7,330,90,1,0.3,"頭部、内臓、骨、ひれ等を除いたもの
廃棄部位： 尾
調理による脂質の増減：第1章表13参照"
10,10110,1283,＜魚類＞ きちじ 生,74,(0),250,32,2,0.2,"別名： きんきん、きんき
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 60 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10111,1284,＜魚類＞ きびなご 生,75,(0),330,100,3,0.4,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10112,1285,＜魚類＞ きびなご 調味干し,370,(0),660,1400,1,6.6,
10,10113,1286,＜魚類＞ キャビア 塩蔵品,500,(0),200,8,4,4.1,
10,10114,1287,＜魚類＞ キングクリップ 生,56,(0),340,47,1,0.4,切り身
10,10115,1288,＜魚類＞ ぎんだら 生,50,(0),340,15,0,0.2,切り身
10,10401,1289,＜魚類＞ ぎんだら 水煮,59,(0),280,15,0,0.2,切り身
10,10116,1290,＜魚類＞ きんめだい 生,60,(0),330,31,1,0.1,"別名：きんめ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10117,1291,＜魚類＞ ぐち 生,66,(0),260,37,Tr,0.2,"別名： いしもち
試料： しろぐち
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10118,1292,＜魚類＞ ぐち 焼き,85,(0),330,51,Tr,0.4,"別名：いしもち、にべ
試料： しろぐち
内臓等を除き焼いたもの
廃棄部位： 頭部、骨、ひれ等"
10,10119,1293,＜魚類＞ こい 養殖 生,86,(0),340,9,Tr,0.1,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10120,1294,＜魚類＞ こい 養殖 水煮,100,(0),330,13,1,0.1,"頭部、尾及び内臓等を除き水煮したもの
廃棄部位： 骨、ひれ等"
10,10121,1295,＜魚類＞ こい 養殖 内臓 生,260,(0),240,9,2,0.2,胆のうを除いたもの
10,10122,1296,＜魚類＞ （こち類） まごち 生,57,(0),450,51,1,0.3,"別名： こち、がらごち、ぜにごち、ほんごち
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10123,1297,＜魚類＞ （こち類） めごち 生,52,(0),280,40,Tr,0.4,"関東で流通するめごち（ネズミゴチ）とは別種
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 60 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10124,1298,＜魚類＞ このしろ 生,68,(0),370,190,0,0.4,"別名： こはだ（小型魚）、つなし
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10125,1299,＜魚類＞ このしろ 甘酢漬,74,(0),120,160,(0),2.3,
10,10126,1300,＜魚類＞ （さけ・ます類） からふとます 生,58,(0),400,13,1,0.2,"別名： あおます
切り身"
10,10127,1301,＜魚類＞ （さけ・ます類） からふとます 焼き,88,(0),520,20,1,0.2,"別名： あおます
切り身"
10,10128,1302,＜魚類＞ （さけ・ます類） からふとます 塩ます,62,(0),310,27,1,5.8,"別名： あおます
廃棄部位： 頭部、骨、ひれ等"
10,10129,1303,＜魚類＞ （さけ・ます類） からふとます 水煮缶詰,89,(0),300,110,(0),0.9,"別名： あおます
液汁を除いたもの"
10,10130,1304,＜魚類＞ （さけ・ます類） ぎんざけ 養殖 生,60,(0),350,12,1,0.1,"別名： ぎんます
切り身
（魚体全体から調理する場合、廃棄率： 35 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10131,1305,＜魚類＞ （さけ・ます類） ぎんざけ 養殖 焼き,88,(0),460,16,1,0.2,"別名： ぎんます
切り身"
10,10132,1306,＜魚類＞ （さけ・ます類） さくらます 生,54,(0),390,15,1,0.1,"別名： ます
切り身
（魚体全体から調理する場合、廃棄率： 30 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10133,1307,＜魚類＞ （さけ・ます類） さくらます 焼き,77,(0),520,26,1,0.2,"別名： ます
切り身"
10,10134,1308,＜魚類＞ （さけ・ます類） しろさけ 生,59,(0),350,14,1,0.2,"別名： さけ（標準和名）、あきさけ、あきあじ
切り身
（魚体全体から調理する場合、廃棄率： 40 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10135,1309,＜魚類＞ （さけ・ます類） しろさけ 水煮,78,(0),340,19,Tr,0.2,"別名： さけ（標準和名）、あきさけ、あきあじ
切り身"
10,10136,1310,＜魚類＞ （さけ・ます類） しろさけ 焼き,85,(0),440,19,1,0.2,"別名： さけ（標準和名）、あきさけ、あきあじ
切り身"
10,10137,1311,＜魚類＞ （さけ・ます類） しろさけ 新巻き 生,70,(0),380,28,1,3.0,"別名： さけ（標準和名）、あきさけ、あきあじ
切り身
（魚体全体から調理する場合、廃棄率： 30 %、廃棄部位： 頭部、骨、ひれ等）"
10,10138,1312,＜魚類＞ （さけ・ます類） しろさけ 新巻き 焼き,95,(0),480,44,1,2.1,"別名： さけ（標準和名）、あきさけ、あきあじ
切り身"
10,10139,1313,＜魚類＞ （さけ・ます類） しろさけ 塩ざけ,64,(0),320,16,1,1.8,"別名： さけ（標準和名）、あきさけ、あきあじ
切り身
（魚体全体から調理する場合、廃棄率： 20 %、廃棄部位： 頭部、骨、ひれ等)"
10,10140,1314,＜魚類＞ （さけ・ます類） しろさけ イクラ,480,(0),210,94,6,2.3,別名： さけ（標準和名）、あきさけ、あきあじ
10,10141,1315,＜魚類＞ （さけ・ます類） しろさけ すじこ,510,(0),180,62,9,4.8,"別名： さけ（標準和名）、あきさけ、あきあじ
卵巣を塩蔵したもの"
10,10142,1316,＜魚類＞ （さけ・ます類） しろさけ めふん,300,(0),300,35,(0),14.7,"別名： さけ（標準和名）、あきさけ、あきあじ
腎臓を塩辛にしたもの"
10,10143,1317,＜魚類＞ （さけ・ます類） しろさけ 水煮缶詰,66,(0),290,190,(0),0.6,"別名： さけ（標準和名）、あきさけ、あきあじ
液汁を除いたもの"
10,10447,1318,＜魚類＞ （さけ・ます類） しろさけ サケ節 削り節,290,0,840,51,-,0.8,"別名： さけ（標準和名）、あきさけ、あきあじ
試料： 包装品"
10,10144,1319,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき 生,72,(0),370,9,2,0.1,"別名： アトランティックサーモン
切り身"
10,10433,1320,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき 水煮,82,(0),330,12,1,0.1,"別名： アトランティックサーモン
切り身"
10,10434,1321,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき 蒸し,79,(0),360,10,2,0.1,"別名： アトランティックサーモン
切り身"
10,10435,1322,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき 電子レンジ調理,72,(0),380,8,2,0.1,"別名： アトランティックサーモン
切り身"
10,10145,1323,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき 焼き,93,(0),460,17,3,0.1,"別名： アトランティックサーモン
切り身"
10,10436,1324,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき ソテー,79,(0),450,10,2,0.1,"別名： アトランティックサーモン
切り身
植物油（なたね油）
調理による脂質の増減：第1章表14参照"
10,10437,1325,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮つき 天ぷら,65,-,410,27,2,0.2,"別名： アトランティックサーモン
切り身
調理による脂質の増減：第1章表13参照"
10,10438,1326,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし 生,64,(0),380,5,2,0.1,"別名： アトランティックサーモン
切り身。刺身と同等"
10,10439,1327,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし 水煮,75,(0),350,5,2,0.1,"別名： アトランティックサーモン
切り身
廃棄部位： 皮、小骨"
10,10440,1328,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし 蒸し,70,(0),360,13,2,0.1,"別名： アトランティックサーモン
切り身
廃棄部位： 皮、小骨"
10,10441,1329,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし 電子レンジ調理,70,(0),400,6,2,0.1,"別名： アトランティックサーモン
切り身
廃棄部位： 皮、小骨"
10,10442,1330,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし 焼き,72,(0),440,5,1,0.1,"別名： アトランティックサーモン
切り身
廃棄部位： 皮、小骨"
10,10443,1331,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし ソテー,78,(0),450,7,2,0.1,"別名： アトランティックサーモン
切り身
廃棄部位： 皮、小骨
植物油（なたね油）
調理による脂質の増減：第1章表14参照"
10,10444,1332,＜魚類＞ （さけ・ます類） たいせいようさけ 養殖 皮なし 天ぷら,58,-,390,27,2,0.2,"別名： アトランティックサーモン
切り身
廃棄部位： 皮、小骨
調理による脂質の増減：第1章表13参照"
10,10146,1333,＜魚類＞ （さけ・ます類） にじます 海面養殖 皮つき 生,69,(0),390,13,2,0.2,"別名： スチールヘッドトラウト、サーモントラウト
切り身"
10,10402,1334,＜魚類＞ （さけ・ます類） にじます 海面養殖 皮なし 生,52,(0),420,8,3,0.1,別名： スチールヘッドトラウト、サーモントラウト
10,10147,1335,＜魚類＞ （さけ・ます類） にじます 海面養殖 皮つき 焼き,98,(0),490,22,5,0.2,"別名： スチールヘッドトラウト、サーモントラウト
切り身"
10,10148,1336,＜魚類＞ （さけ・ます類） にじます 淡水養殖 皮つき 生,72,(0),370,24,2,0.1,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）
10,10149,1337,＜魚類＞ （さけ・ます類） べにざけ 生,51,(0),380,10,Tr,0.1,切り身
10,10150,1338,＜魚類＞ （さけ・ます類） べにざけ 焼き,76,(0),490,16,2,0.2,切り身
10,10151,1339,＜魚類＞ （さけ・ます類） べにざけ くん製,50,(0),250,19,(0),3.8,"切り身
皮の割合： 10 %"
10,10152,1340,＜魚類＞ （さけ・ます類） ますのすけ 生,54,(0),380,18,1,0.1,"別名： キングサーモン
切り身"
10,10153,1341,＜魚類＞ （さけ・ます類） ますのすけ 焼き,79,(0),520,30,Tr,0.1,"別名： キングサーモン
切り身"
10,10154,1342,＜魚類＞ （さば類） まさば 生,61,(0),330,6,1,0.3,"別名： さば
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）"
10,10155,1343,＜魚類＞ （さば類） まさば 水煮,80,(0),280,7,0,0.2,"別名： さば
切り身"
10,10156,1344,＜魚類＞ （さば類） まさば 焼き,79,(0),370,10,0,0.3,"別名： さば
切り身"
10,10403,1345,＜魚類＞ （さば類） まさば フライ,70,-,310,14,0,0.3,"別名： さば
切り身
調理による脂質の増減：第1章表13参照"
10,10404,1346,＜魚類＞ （さば類） ごまさば 生,59,(0),420,12,Tr,0.2,廃棄部位： 頭部、内臓、骨、ひれ等（三枚おろし）
10,10405,1347,＜魚類＞ （さば類） ごまさば 水煮,62,(0),350,13,0,0.1,切り身
10,10406,1348,＜魚類＞ （さば類） ごまさば 焼き,74,(0),540,19,0,0.2,切り身
10,10157,1349,＜魚類＞ （さば類） ごまさば さば節,300,(0),1100,860,(0),0.9,
10,10158,1350,＜魚類＞ （さば類） たいせいようさば 生,68,(0),320,7,1,0.3,"別名： ノルウェーさば
三枚におろしたもの
（魚体全体から調理する場合、廃棄率： 35 %、廃棄部位： 頭部、内臓、骨、ひれ等）"
10,10159,1351,＜魚類＞ （さば類） たいせいようさば 水煮,78,(0),280,9,Tr,0.2,"別名： ノルウェーさば
切り身"
10,10160,1352,＜魚類＞ （さば類） たいせいようさば 焼き,80,(0),390,12,Tr,0.3,"別名： ノルウェーさば
切り身"
10,10161,1353,＜魚類＞ （さば類） 加工品 塩さば,59,(0),300,27,(0),1.8,切り身
10,10162,1354,＜魚類＞ （さば類） 加工品 開き干し,65,(0),300,25,0,1.7,廃棄部位： 頭部、骨、ひれ等
10,10163,1355,＜魚類＞ （さば類） 加工品 しめさば,65,(0),200,9,Tr,1.6,
10,10164,1356,＜魚類＞ （さば類） 缶詰 水煮,84,(0),260,260,(0),0.9,液汁を除いたもの
10,10165,1357,＜魚類＞ （さば類） 缶詰 みそ煮,70,(0),250,210,0,1.1,液汁を含んだもの
10,10166,1358,＜魚類＞ （さば類） 缶詰 味付け,95,(0),260,180,0,1.3,液汁を除いたもの
10,10167,1359,＜魚類＞ （さめ類） あぶらつのざめ 生,50,(0),450,6,Tr,0.3,"別名： ふか、あぶらざめ
切り身"
10,10168,1360,＜魚類＞ （さめ類） よしきりざめ 生,54,(0),290,5,Tr,0.5,"別名： ふか
切り身"
10,10169,1361,＜魚類＞ （さめ類） ふかひれ,250,(0),3,65,(0),0.5,別名： さめひれ、きんし
